kind,instrument_name,settlement_period,strike,option_type,pulldate,contract_size,create_timestamp,expiration_timestamp,instrument_id,instrument_type,maker_commission,min_trade_amount,taker_commission,tick_size
future,BTC-21JUN24,week,N/A,N/A,202406191253,10.0,1717747214000,1718956800000,335003,reversed,-0.0001,10.0,0.0005,2.5
future,BTC-28JUN24,month,N/A,N/A,202406191253,10.0,1687507209000,1719561600000,260550,reversed,0.0,10.0,0.0005,2.5
future,BTC-26JUL24,month,N/A,N/A,202406191253,10.0,1717142422000,1721980800000,332755,reversed,0.0,10.0,0.0005,2.5
future,BTC-27SEP24,month,N/A,N/A,202406191253,10.0,1695974410000,1727424000000,270315,reversed,0.0,10.0,0.0005,2.5
future,BTC-27DEC24,month,N/A,N/A,202406191253,10.0,1703836813000,1735286400000,285303,reversed,0.0,10.0,0.0005,2.5
future,BTC-28MAR25,month,N/A,N/A,202406191253,10.0,1711699222000,1743148800000,309709,reversed,0.0,10.0,0.0005,2.5
future,BTC-PERPETUAL,perpetual,N/A,N/A,202406191253,10.0,1534242287000,32503708800000,210838,reversed,0.0,10.0,0.0005,0.5
spot,BTC_USDC,N/A,N/A,N/A,202406191253,0.0001,1682341202000,32503708800000,254613,linear,0.0,0.0001,0.0,1.0
spot,BTC_USDT,N/A,N/A,N/A,202406191253,0.0001,1702374650000,32503708800000,282196,linear,0.0,0.0001,0.0,1.0
spot,ETH_BTC,N/A,N/A,N/A,202406191253,0.0001,1682341237000,32503708800000,254615,linear,0.0,0.0001,0.0,0.0001
